,,
,,
НОМЕНКЛАТУРА НА МЕРНИТЕ ЕДИНИЦИ,,
,,
,,
Код,Наименование (ENG),Наименование (BG)
M59,metre per second pascal,метър на секунда паскал
M60,metre per hour,метър в час
M61,inch per year,инч на година
M62,kilometre per second ,километър в секунда 
M63,inch per minute,инч в минута
M64,yard per second,ярд в секунда
M65,yard per minute,ярд в минута
M66,yard per hour,ярд на час
M67,acre-foot (based on U.S. survey foot),"акър-фут (на база на земемерен фут, САЩ)"
M68,cord (128 ft3),корд (128 кубични фута)
M69,cubic mile (UK statute),"кубична миля (Великобритания, сухопътна)"
M7,micro-inch,микроинч
M70,"ton, register ",регистър тон 
M71,cubic metre per pascal,кубичен метър на паскал
M72,bel,бел
M73,kilogram per cubic metre pascal,килограм на кубичен метър паскал
M74,kilogram per pascal,килограм на паскал
M75,kilopound-force,килофунт-сила
M76,poundal,паундал
M77,kilogram metre per second squared,килограм метър в секунда на квадрат
M78,pond,понд
M79,square foot per hour ,квадратен фут на час 
M80,stokes per pascal,стокс на паскал
M81,square centimetre per second,квадратен сантиметър за секунда
M82,square metre per second pascal,квадратен метър за секунда паскал
M83,denier ,дение 
M84,pound per yard ,фунт за ярд
M85,"ton, assay","тон, пробен"
M86,pfund,фунт
M87,kilogram per second pascal,килограм на секунда паскал
M88,tonne per month,тон на месец
M89,tonne per year,тон за година
M9,million Btu per 1000 cubic foot,милион Btu за 1000 кубични фута
M90,kilopound per hour,килофунт в час
M91,pound per pound,фунт на фунт
M92,pound-force foot,фунт-сила фут
M93,newton metre per radian,нютон метър на радиан
M94,kilogram metre,килограм метър
M95,poundal foot,паундал фут
M96,poundal inch,паундал инч
M97,dyne metre,дина метър
M98,kilogram centimetre per second,килограм сантиметър в секунда
M99,gram centimetre per second,грам сантиметър в секунда
MAH,megavolt ampere reactive hour,реактивен мегаволтампер час
MAL,megalitre,мегалитър
MAM,megametre,мегаметър
MAR,megavar,мегавар
MAW,megawatt,мегават
MBE,thousand standard brick equivalent,еквивалент на хиляда стандартни тухли
MBF,thousand board foot,хиляда дъсчени фута
MBR,millibar,милибар
MC,microgram,микрограм
MCU,millicurie,миликюри
MD,air dry metric ton,метричен тон въздушно изсушена маса
MGM,milligram,милиграм
MHZ,megahertz,мегахерц
MIK,square mile (statute mile),квадратна миля (статутна миля)
MIL,thousand,хиляда
MIN,minute [unit of time],минута [единица за време]
MIO,million,милион
MIU,million international unit,милион международни единици
MLD,milliard,милиард
MLT,millilitre,милилитър
MMK,square millimetre,квадратен милиметър
MMQ,cubic millimetre,кубичен милиметър
MMT,millimetre,милиметър
MND,"kilogram, dry weight","килограм, сухо тегло"
MON,month,месец
MPA,megapascal,мегапаскал
MQH,cubic metre per hour,кубичен метър в час
MQS,cubic metre per second,кубичен метър в секунда
MSK,metre per second squared,метър в секунда на квадрат
MTK,square metre,квадратен метър
MTQ,cubic metre,кубичен метър
MTR,metre,метър
MTS,metre per second,метър в секунда
MVA,megavolt - ampere,мегаволтампер
MWH,megawatt hour (1000 kW.h),мегаватчас (1000 kW.h)
N1,pen calorie,калория за парентерално и ентерално въвеждане
N10,pound foot per second,фунт фут за секунда
N11,pound inch per second,фунт инч за секунда
N12,Pferdestaerke,"конска сила (нем., ост.)"
N13,centimetre of mercury (0 ºC),сантиметър живачен стълб (0 ºC)
N14,centimetre of water (4 ºC),сантиметър воден стълб (4 ºC)
N15,foot of water (39.2 ºF),"фут воден стълб (39,2 ºF)"
N16,inch of mercury (32 ºF),инч живачен стълб (32 ºF)
N17,inch of mercury (60 ºF),инч живачен стълб (60 ºF)
N18,inch of water (39.2 ºF),"инч воден стълб (39,2 ºF)"
N19,inch of water (60 ºF),инч воден стълб (60 ºF)
N20,kip per square inch,килофунт-сила за квадратен инч
N21,poundal per square foot ,паундал на квадратен фут 
N22,ounce (avoirdupois) per square inch ,унция (авоардюпоа) на квадратен инч 
N23,conventional metre of water,стандартен метър воден стълб
N24,gram per square millimetre,грам на квадратен милиметър
N25,pound per square yard,фунт на квадратен метър
N26,poundal per square inch,паундал на квадратен инч
N27,foot to the fourth power ,фут на четвърта степен 
N28,cubic decimetre per kilogram,кубичен дециметър на килограм
N29,cubic foot per pound,кубичен фут на фунт
N3,print point,точка при отпечатване
N30,cubic inch per pound,кубичен инч на фунт
N31,kilonewton per metre,килонютон на метър
N32,poundal per inch,паундал на инч
N33,pound-force per yard,фунт-сила за ярд
N34,poundal second per square foot ,паундал секунда на квадратен фут 
N35,poise per pascal,поаз на паскал
N36,newton second per square metre,нютон секунда на квадратен метър
N37,kilogram per metre second,килограм на метър секунда
N38,kilogram per metre minute,килограм на метър минута
N39,kilogram per metre day,килограм на метър ден
N40,kilogram per metre hour,килограм на метър час
N41,gram per centimetre second,грам на сантиметър секунда
N42,poundal second per square inch,паундал секунда на квадратен инч
N43,pound per foot minute,фунт на фут минута
N44,pound per foot day,фунт на фут ден
N45,cubic metre per second pascal,кубичен метър на секунда паскал
N46,foot poundal,фут паундал
N47,inch poundal,инч паундал
N48,watt per square centimetre ,ват на квадратен сантиметър 
N49,watt per square inch ,ват на квадратен инч 
N50,British thermal unit (international table) per square foot hour,Британска топлинна единица (международна таблица) на квадратен фут час
N51,British thermal unit (thermochemical) per square foot hour,Британска топлинна единица (термохимична) на квадратен фут час
N52,British thermal unit (thermochemical) per square foot minute,Британска топлинна единица (термохимична) на квадратен фут минута
N53,British thermal unit (international table) per square foot second,Британска топлинна единица (международна таблица) на квадратен фут секунда
N54,British thermal unit (thermochemical) per square foot second,Британска топлинна единица (термохимична) на квадратен фут секунда
N55,British thermal unit (international table) per square inch second,Британска топлинна единица (международна таблица) на квадратен инч секунда
N56,calorie (thermochemical) per square centimetre minute,калория (термохимична) на квадратен сантиметър в минута
N57,calorie (thermochemical) per square centimetre second,калория (термохимична) на квадратен сантиметър в секунда
N58,British thermal unit (international table) per cubic foot ,Британска топлинна единица (международна таблица) на кубичен фут 
N59,British thermal unit (thermochemical) per cubic foot,Британска топлинна единица (термохимична) на кубичен фут
N60,British thermal unit (international table) per degree Fahrenheit,Британска топлинна единица (международна таблица) на градус Фаренхайт
N61,British thermal unit (thermochemical) per degree Fahrenheit,Британска топлинна единица (термохимична) на градус Фаренхайт
N62,British thermal unit (international table) per degree Rankine,Британска топлинна единица (международна таблица) на градус Ранкин
N63,British thermal unit (thermochemical) per degree Rankine,Британска топлинна единица (термохимична) на градус Ранкин
N64,British thermal unit (thermochemical) per pound degree Rankine,Британска топлинна единица (термохимична) за фунт градус Ранкин
N65,kilocalorie (international table) per gram kelvin,килокалория (международна таблица) на грам келвин
N66,British thermal unit (39 ºF) ,Британска топлинна единица (39 ºF) 
N67,British thermal unit (59 ºF),Британска топлинна единица (59 ºF)
N68,British thermal unit (60 ºF) ,Британска топлинна единица (60 ºF) 
N69,calorie (20 ºC) ,калория (20 ºC) 
N70,quad (1015 BtuIT),"квадрилион (1015 британски топлинни единици, международна таблица)"
N71,therm (EC),терм (EC)
N72,therm (U.S.),терм (САЩ)
N73,British thermal unit (thermochemical) per pound,Британска топлинна единица (термохимична) за фунт
N74,British thermal unit (international table) per hour square foot degree Fahrenheit,Британска топлинна единица (международна таблица) на час квадратен фут градус Фаренхайт
N75,British thermal unit (thermochemical) per hour square foot degree Fahrenheit,Британска топлинна единица (термохимична) на час квадратен фут градус Фаренхайт
N76,British thermal unit (international table) per second square foot degree Fahrenheit,Британска топлинна единица (международна таблица) на секунда квадратен фут градус Фаренхайт
N77,British thermal unit (thermochemical) per second square foot degree Fahrenheit,Британска топлинна единица (термохимична) на секунда квадратен фут градус Фаренхайт
N78,kilowatt per square metre kelvin,киловат на квадратен метър келвин
N79,kelvin per pascal,келвин на паскал
N80,watt per metre degree Celsius,ват на метър градус Целзий
N81,kilowatt per metre kelvin,киловат на метър келвин
N82,kilowatt per metre degree Celsius,киловат на метър градус Целзий
N83,metre per degree Celcius metre,метър на градус Целзий метър
N84,degree Fahrenheit hour per British thermal unit (international table),градус Фаренхайт час за британска топлинна единица (международна таблица)
N85,degree Fahrenheit hour per British thermal unit (thermochemical),градус Фаренхайт час за британска топлинна единица (термохимична)
N86,degree Fahrenheit second per British thermal unit (international table),градус Фаренхайт секунда за британска топлинна единица (международна таблица)
N87,degree Fahrenheit second per British thermal unit (thermochemical),градус Фаренхайт секунда за британска топлинна единица (термохимична)
N88,degree Fahrenheit hour square foot per British thermal unit (international table) inch,градус Фаренхайт час квадратен фут за британска топлинна единица (международна таблица) инч
N89,degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch,градус Фаренхайт час квадратен фут за британска топлинна единица (термохимична) инч
N90,kilofarad,килофарад
N91,reciprocal joule,реципрочен джаул
N92,picosiemens,пикосименс
N93,ampere per pascal,ампер на паскал
N94,franklin,франклин
N95,ampere minute,ампер минута
N96,biot,биот
N97,gilbert,гилбърт
N98,volt per pascal,волтана паскал
N99,picovolt,пиковолт
NA,milligram per kilogram,милиграм на килограм
NAR,number of articles,брой артикули
NCL,number of cells,брой клетки
NEW,newton,нютон
NIL,nil,брой празни
NIU,number of international units,брой международни единици
NL,load,товар
NM3,Normalised cubic metre,Нормализиран кубичен метър
NMI,nautical mile,морска миля
NMP,number of packs,брой пакети
NPT,number of parts,брой части
NT,net ton,тон нето
NU,newton metre,нютон метър
NX,part per thousand,част на хиляда
OA,panel,панел
ODG,ODS Grams,ODS грамове
ODK,ODS Kilograms,ODS килограми
ODM,ODS Milligrams,ODS милиграми
OHM,ohm,ом
ON,ounce per square yard,унция на квадратен ярд
ONZ,ounce (avoirdupois),унция (авоардюпоа)
OPM,oscillations per minute,осцилации в минута
OT,overtime hour,извънреден час
OZA,fluid ounce (US),течна унция (САЩ)
OZI,fluid ounce (UK),течна унция (Великобритания)
P1,percent,процент
P10,coulomb per metre,кулон на метър
P11,kiloweber,киловебер
P12,gamma,гама
P13,kilotesla,килотесла
P14,joule per second,джаул в секунда
P15,joule per minute,джаул в минута
P16,joule per hour,джаул в час
P17,joule per day,джаул на ден
P18,kilojoule per second,килоджаул в секунда
P19,kilojoule per minute,килоджаул в минута
P2,pound per foot,фунт на фут
P20,kilojoule per hour,килоджаул в час
P21,kilojoule per day,килоджаул на ден
P22,nanoohm,наноом
P23,ohm circular-mil per foot ,ом кръгов мил за фут 
P24,kilohenry,килохенри
P25,lumen per square foot ,лумен на квадратен фут 
P26,phot,фот
P27,footcandle,футкандел
P28,candela per square inch ,кандела на квадратен инч 
P29,footlambert,футламбер
P30,lambert,ламбер
P31,stilb,стилб
P32,candela per square foot,кандела на квадратен фут
P33,kilocandela,килокандела
P34,millicandela,миликандела
P35,Hefner-Kerze,хефнерхерце
P36,international candle ,"кандела, международна система "
P37,British thermal unit (international table) per square foot,Британска топлинна единица (международна таблица) на квадратен фут
P38,British thermal unit (thermochemical) per square foot,Британска топлинна единица (термохимична) на квадратен фут
P39,calorie (thermochemical) per square centimetre ,калория (термохимична) на квадратен сантиметър 
P40,langley,лангли
P41,decade (logarithmic),декада (логаритмична)
P42,pascal squared second,паскал на квадрат секунда
P43,bel per metre,бел за метър
P44,pound mole,фунт мол
P45,pound mole per second,фунт мол в секунда
P46,pound mole per minute,фунт мол в минута
P47,kilomole per kilogram,киломол на килограм
P48,pound mole per pound,фунт мол на фунт
P49,newton square metre per ampere,нютон квадратен метър на ампер
P5,five pack,пет в пакет
P50,weber metre,вебер метър
P51,mol per kilogram pascal,мол на килограм паскал
P52,mol per cubic metre pascal,мол на кубичен метър паскал
P53,unit pole ,единица за магнитен полюс 
P54,milligray per second,милигрей за секунда
P55,microgray per second,микрогрей за секунда
P56,nanogray per second,наногрей за секунда
P57,gray per minute,грей за минута
P58,milligray per minute,милигрей за минута
P59,microgray per minute,микрогрей за минута
P60,nanogray per minute,наногрей за минута
P61,gray per hour,грей за час
P62,milligray per hour,милигрей за час
P63,microgray per hour,микрогрей за час
P64,nanogray per hour,наногрей за час
P65,sievert per second,сиверт за секунда
P66,millisievert per second,милисиверт за секунда
P67,microsievert per second,микросиверт за секунда
P68,nanosievert per second,наносиверт за секунда
P69,rem per second,бер за секунда
P70,sievert per hour,сиверт за час
P71,millisievert per hour,милисиверт за час
P72,microsievert per hour,микросиверт за час
P73,nanosievert per hour,наносиверт за час
P74,sievert per minute,сиверт за минута
P75,millisievert per minute,милисиверт в минута
P76,microsievert per minute,микросиверт за минута
P77,nanosievert per minute,наносиверт за минута
P78,reciprocal square inch,реципрочен квадратен инч
P79,pascal square metre per kilogram,паскал квадратен метър на килограм
P80,millipascal per metre,милипаскал на метър
P81,kilopascal per metre,килопаскал на метър
P82,hectopascal per metre,хектопаскал на метър
P83,standard atmosphere per metre,стандартна атмосфера на метър
P84,technical atmosphere per metre,техническа атмосфера на метър
P85,torr per metre,тор на метър
P86,psi per inch,фунт-сила на квадратен инч за инч
P87,cubic metre per second square metre,кубичен метър на секунда квадратен метър
P89,pound-force foot per inch,фунт-сила фут на инч
P90,pound-force inch per inch ,фунт-сила инч на инч 
P91,perm (0 ºC) ,перм (0 ºC) 
P92,perm (23 ºC) ,перм (23 ºC) 
P93,byte per second,байт в секунда
P94,kilobyte per second,килобайт в секунда
P95,megabyte per second,мегабайт в секунда
P96,reciprocal volt,реципрочен волт
P97,reciprocal radian,реципрочен радиан
P98,pascal to the power sum of stoichiometric numbers,паскал на степен сумата от стехиометричните коефициенти
P99,mole per cubiv metre to the power sum of stoichiometric numbers,мол за кубичен метър на степен сумата от стехиометричните коефициенти
PAL,pascal,паскал
PD,pad,пачка
PFL,proof litre,алкохолно съдържание за литър
PGL,proof gallon,алкохолно съдържание за галон
PI,pitch,символ на инч
PLA,degree Plato,градус Плато
PO,pound per inch of length,фунт на инч дължина
PQ,page per inch,страница на инч
PR,pair,двойка/чифт
PS,pound-force per square inch,фунт-сила на квадратен инч
PTD,dry pint (US),суха пинта (САЩ)
PTI,pint (UK),пинта (Великобритания)
PTL,liquid pint (US),течна пинта (САЩ)
PTN,portion,порция
Q10,joule per tesla,джаул на тесла
Q11,erlang,ерланг
Q12,octet,октет
Q13,octet per second,октет в секунда
Q14,shannon,шанън
Q15,hartley,хартли
Q16,natural unit of information,естествена единица за информация /nat/
Q17,shannon per second,шанън в секунда
Q18,hartley per second,хартли в секунда
Q19,natural unit of information per second,естествена единица за информация в секунда
Q20,second per kilogramm,секунда за килограм
Q21,watt square metre,ват квадратен метър
Q22,second per radian cubic metre,секунда на радиан кубичен метър
Q23,weber to the power minus one,вебер на степен минус едно
Q24,reciprocal inch,реципрочен инч
Q25,dioptre,диоптър
Q26,one per one,едно към едно
Q27,newton metre per metre,нютон метър на метър
Q28,kilogram per square metre pascal second,килограм на квадратен метър паскал секунда
Q29,microgram per hectogram,микрограм на хектограм
Q30,pH (potential of Hydrogen),pH (водороден показател)
Q31,kilojoule per gram,килоджаул на грам
Q32,femtolitre,фемтолитър
Q33,picolitre,пиколитър
Q34,nanolitre,нанолитър
Q35,megawatts per minute,мегавати в минута
Q36,square metre per cubic metre,квадратен метър на кубичен метър
Q37,Standard cubic metre per day,Стандартен кубичен метър на ден
Q38,Standard cubic metre per hour,Стандартен кубичен метър на час
Q39,Normalized cubic metre per day,Нормализиран кубичен метър на ден
Q40,Normalized cubic metre per hour,Нормализиран кубичен метър на час
Q41,Joule per normalised cubic metre,Джаул на нормализиран кубичен метър
Q42,Joule per standard cubic metre,Джаул на стандартен кубичен метър
Q3,meal,порцион/хранене
QA,page - facsimile,страница – факсимиле
QAN,quarter (of a year),тримесечие (от година)
QB,page - hardcopy,страница на хартиен носител/физическа страница
QR,quire,сгъната печатна кола
QTD,dry quart (US),суха кварта (САЩ)
QTI,quart (UK),кварта (Великобритания)
QTL,liquid quart (US),течна кварта (САЩ)
QTR,quarter (UK),квартер (Великобритания)
R1,pica,пика
R9,thousand cubic metre,хиляда кубични метра
RH,running or operating hour,час изпълнение или експлоатация
RM,ream,топ хартия
ROM,room,стая
RP,pound per ream,фунт за топ хартия
RPM,revolutions per minute,обороти в минута
RPS,revolutions per second,обороти в секунда
RT,revenue ton mile,тон приход за миля
S3,square foot per second,квадратен фут в секунда
S4,square metre per second,квадратен метър в секунда
SAN,half year (6 months),половин година (6 месеца)
SCO,score,двадесет
SCR,scruple,скрупул
SEC,second [unit of time],секунда [единица за време]
SET,set,набор/комплект
SG,segment,сегмент
SIE,siemens,сименс
SM3,Standard cubic metre,Стандартен кубичен метър
SMI,mile (statute mile),миля (статутна миля)
SQ,square,квадрат
SQR,"square, roofing",100 квадратни фута покривни материали
SR,strip,лента
STC,stick,пръчка
STI,stone (UK),стоун (Великобритания)
STK,"stick, cigarette",къс
STL,standard litre,стандартен литър
STN,ton (US) or short ton (UK/US),тон (САЩ) или къс тон (Великобритания/САЩ)
STW,straw,сламка
SW,skein,чиле прежда
SX,shipment,пратка
SYR,syringe,спринцовка
T0,telecommunication line in service,телекомуникационна линия в експлоатация
T3,thousand piece,хиляда бройки
TAH,kiloampere hour (thousand ampere hour),килоамперчас (хиляда амперчаса)
TAN,total acid number,общо киселинно число
TI,thousand square inch,хиляда квадратни инча
TIC,"metric ton, including container","метричен тон, включително контейнера"
TIP,"metric ton, including inner packaging","метричен тон, включително вътрешната опаковка"
TKM,tonne kilometre,тон километър
TMS,"kilogram of imported meat, less offal","килограм вносно месо, без карантиите"
TNE,tonne (metric ton),тон (метричен тон)
TP,ten pack,десет в пакет
TPI,teeth per inch,зъби на инч
TPR,ten pair,десет двойки
TQD,thousand cubic metre per day,хиляда кубични метра на ден
TRL,trillion (EUR),трилион (EUR)
TST,ten set,десет комплекта
TTS,ten thousand sticks,десет хиляди пръчки
U1,treatment,третиране/обработка
U2,tablet,таблетка
UB,telecommunication line in service average,среден брой телекомуникационни линии в експлоатация
UC,telecommunication port,телекомуникационен порт
VA,volt - ampere per kilogram,волтампер на килограм
VLT,volt,волт
VP,percent volume,обемен процент
W2,wet kilo,килограм влажно тегло
WA,watt per kilogram,ват на килограм
WB,wet pound,фунт влажно тегло
WCD,cord,корд
WE,wet ton,тон влажно тегло
WEB,weber,вебер
WEE,week,седмица
WG,wine gallon,винен галон
WHR,watt hour,ватчас
WM,working month,работен месец
WSD,standard,стандартен кубичен фут
WTT,watt,ват
X1,Gunter's chain,Верига на Гюнтер
YDK,square yard,квадратен ярд
YDQ,cubic yard,кубичен ярд
YRD,yard,ярд
Z11,hanging container,висящ контейнер
ZP,page,страница
ZZ,mutually defined,взаимно определени
X1A,"Drum, steel","барабан, стоманен"
X1B,"Drum, aluminium","барабан, алуминиев"
X1D,"Drum, plywood","барабан, шперплатов"
X1F,"Container, flexible","Контейнер, гъвкав"
X1G,"Drum, fibre","барабан, влакнест"
X1W,"Drum, wooden","барабан, дървен"
X2C,"Barrel, wooden","Барел, дървен"
X3A,"Jerrican, steel","Канистра/туба, стоманена"
X3H,"Jerrican, plastic","Канистра/туба, пластмасова"
X43,"Bag, super bulk","Торба, с голям обем"
X44,"Bag, polybag","Торба, полибаг (Polybag)"
X4A,"Box, steel","Кутия, стоманена"
X4B,"Box, aluminium","Кутия, алуминиева"
X4C,"Box, natural wood","Кутия, естествено дърво"
X4D,"Box, plywood","Кутия, шперплатова"
X4F,"Box, reconstituted wood","Кутия, възстановено дърво"
X4G,"Box, fibreboard","Кутия, талашит"
X4H,"Box, plastic","Кутия, пластмаса"
X5H,"Bag, woven plastic","Торба, тъкана пластмаса"
X5L,"Bag, textile ","Торба, текстилна "
X5M,"Bag, paper ","Торба, хартиена "
X6H,"Composite packaging, plastic receptacle","Композитна опаковка, пластмасов контейнер"
X6P,"Composite packaging, glass receptacle","Композитна опаковка, стъклен контейнер"
X7A,"Case, car","Каса, автомобил"
X7B,"Case, wooden","Каса, дървена"
X8A,"Pallet, wooden","Палет, дървен"
X8B,"Crate, wooden","Щайга, дърво"
X8C,"Bundle, wooden","Пакет, дървен"
XAA,"Intermediate bulk container, rigid plastic","Междинен контейнер за насипни стоки, твърда пластмаса"
XAB,"Receptacle, fibre ","Съд, влакнест "
XAC,"Receptacle, paper ","Съд, хартиен "
XAD,"Receptacle, wooden ","Съд, дървен "
XAE,Aerosol,Аерозол
XAF,"Pallet, modular, collars 80cms * 60cms ","Палет, модулен, обръчи 80 сm * 60 сm "
XAG,"Pallet, shrinkwrapped ","Палет, обвит с термосвиваемо фолио"
XAH,"Pallet, 100cms * 110cms ","Палет, 100 cm * 110 cm "
XAI,Clamshell,Грейфер
XAJ,Cone,Конус
XAL,Ball,Сфера
XAM,"Ampoule, non-protected ","Ампула, незащитена "
XAP,"Ampoule, protected ","Ампула, защитена "
XAT,Atomizer ,Пулверизатор 
XAV,Capsule,Капсула
XB4,Belt,Колан
XBA,Barrel ,Барел 
XBB,Bobbin ,Бобина 
XBC,Bottlecrate / bottlerack ,Каса/рафт за бутилки 
XBD,Board,Дъска
XBE,Bundle ,Връзка 
XBF,"Balloon, non-protected ","Балон, незащитен "
XBG,Bag,Торба
XBH,Bunch,Сноп
XBI,Bin,Кош
XBJ,Bucket ,Ведро 
XBK,Basket ,Кош 
XBL,"Bale, compressed ","Бала, пресована "
XBM,Basin,Леген
XBN,"Bale, non-compressed ","Бала, непресована "
XBO,"Bottle, non-protected, cylindrical ","Бутилка, незащитена, цилиндрична "
XBP,"Balloon, protected ","Балон, защитен "
XBQ,"Bottle, protected cylindrical","Бутилка, защитена цилиндрична"
XBR,Bar,Прът
XBS,"Bottle, non-protected, bulbous ","Бутилка, незащитена, крушообразна"
XBT,Bolt ,Рулон
XBU,Butt ,Голяма бъчва /ост./
XBV,"Bottle, protected bulbous","Бутилка, защитена, крушообразна"
XBW,"Box, for liquids",Кутия за течности
XBX,Box,Кутия
XBY,"Board, in bundle/bunch/truss ","Дъски, на сноп/връзка/пачка "
XBZ,"Bars, in bundle/bunch/truss","Пръти, на сноп/връзка/пачка"
XCA,"Can, rectangular ","Кутия, метална, правоъгълна "
XCB,"Crate, beer","Щайга, бира"
XCD,"Can, with handle and spout ",Кутия с дръжка и гърло 
XCE,Creel,Малка кошница
XCF,Coffer ,Сандък 
XCG,Cage ,Кафез 
XCH,Chest,Ракла
XCI,Canister ,Канистра/туба
XCJ,Coffin ,Ковчег 
XCK,Cask ,Бъчва /буре
XCL,Coil ,Намотка 
XCM,Card,Картон
XCN,"Container, not otherwise specified as transport equipment","Контейнер, неспецифициран по друг начин като транспортно оборудване"
XCO,"Carboy, non-protected","контейнер, незащитен"
XCP,"Carboy, protected","контейнер, защитен"
XCQ,Cartridge,Патрон
XCR,Crate,щайга
XCS,Case ,Каса 
XCT,Carton ,"Кутия, картонена "
XCU,Cup,Чаша
XCV,Cover,Похлупак
XCW,"Cage, roll ","Клетка, ролка"
XCX,"Can, cylindrical ","Кутия, метална, цилиндрична "
XCY,Cylinder ,Цилиндър 
XCZ,Canvas ,Платно 
XDA,"Crate, multiple layer, plastic ","Щайга, многослойна, пластмаса"
XDB,"Crate, multiple layer, wooden","Щайга, няколко слоя, изработена от дърво"
XDC,"Crate, multiple layer, cardboard ","Щайга, няколко слоя, картон"
XDG,"Cage, Commonwealth Handling Equipment Pool  (CHEP)","Кафез, набор от оборудване за обработка на Commonwealth (CHEP)"
XDH,"Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox","Кутия, набор от оборудване за обработка на Commonwealth (CHEP), еврокутия"
XDI,"Drum, iron ","Бидон, железен "
XDJ,"Demijohn, non-protected","Дамаджана, незащитена"
XDK,"Crate, bulk, cardboard ","Щайга, насипно състояние, кашон"
XDL,"Crate, bulk, plastic ","Щайга, насипно състояние, пластмасова"
XDM,"Crate, bulk, wooden","Щайга, насипно състояние, дърво"
XDN,Dispenser,Диспенсър
XDP,"Demijohn, protected","Дамаджана, защитена"
XDR,Drum ,Бидон 
XDS,"Tray, one layer no cover, plastic","Табла, еднослойна, без капак, пластмаса"
XDT,"Tray, one layer no cover, wooden ","Табла, еднослойна, без капак, дървена "
XDU,"Tray, one layer no cover, polystyrene","Табла, еднослойна, без капак, стиропор"
XDV,"Tray, one layer no cover, cardboard","Табла, еднослойна, без капак, твърд картон"
XDW,"Tray, two layers no cover, plastic tray","Табла, двуслойна, без капак, пластмаса"
XDX,"Tray, two layers no cover, wooden","Табла, двуслойна, без капак, дървена"
XDY,"Tray, two layers no cover, cardboard ","Табла, двуслойна, без капак, твърд картон "
XEC,"Bag, plastic ","Торба, пластмасова "
XED,"Case, with pallet base ","Каса, с палетна основа "
XEE,"Case, with pallet base, wooden ","Каса, с палетна основа, дървена "
XEF,"Case, with pallet base, cardboard","Каса, с палетна основа, картон"
XEG,"Case, with pallet base, plastic","Каса, с палетна основа, пластмасова"
XEH,"Case, with pallet base, metal","Каса, с палетна основа, метална"
XEI,"Case, isothermic ","Каса, изотермична "
XEN,Envelope ,Плик 
XFB,Flexibag,"Торба, гъвкава"
XFC,"Crate, fruit ","Щайга, плодове"
XFD,"Crate, framed","Щайга, в рамка"
XFE,Flexitank,"Резервоар, гъвкав"
XFI,Firkin ,Фиркин 
XFL,Flask,Плоска бутилка
XFO,Footlocker ,Сандъче за обувки 
XFP,Filmpack ,Кутия за филмови ленти 
XFR,Frame,Рамка
XFT,Foodtainer,Контейнер за храна
XFW,"Cart, flatbed",Магазинна количка
XFX,"Bag, flexible container","Торба, гъвкав контейнер"
XGB,"Bottle, gas","Бутилка, газова"
XGI,Girder ,Греда 
XGL,"Container, gallon","Контейнер, галон"
XGR,"Receptacle, glass ","Съд, стъклен "
XGU,"Tray, containing horizontally stacked flat items","тава за плоски предмети, подредени хоризонтално"
XGY,"Bag, gunny","чували, тип ""gunny"""
XGZ,"Girders, in bundle/bunch/truss ","Греди, на сноп/връзка/пачка "
XHA,"Basket, with handle, plastic ","Кош, с дръжка, пластмасов "
XHB,"Basket, with handle, wooden","Кош, с дръжка, дървен"
XHC,"Basket, with handle, cardboard ","Кош, с дръжка, картонен "
XHG,Hogshead ,Голяма бъчва 
XHN,Hanger,Кука/закачалка
XHR,Hamper ,Кошница с капак 
XIA,"Package, display, wooden ","Опаковка, демонстрационна, дървена "
XIB,"Package, display, cardboard","Опаковка, демонстрационна, картонена"
XIC,"Package, display, plastic","Опаковка, демонстрационна, пластмасова"
XID,"Package, display, metal","Опаковка, демонстрационна, метална"
XIF,"Package, flow ","Опаковка, тръбна "
XIG,"Package, paper wrapped","Пакет, увит в хартия"
XIH,"Drum, plastic","Бидон, пластмасов"
XIK,"Package, cardboard, with bottle grip-holes ","Опаковка, картон, с отвори за захващане на бутилка "
XIL,"Tray, rigid, lidded stackable (CEN TS 14482:2002)","Табла, твърда, с капак и възможност за подреждане една върху друга (CEN TS 14482:2002)"
XIN,Ingot,Слитък
XIZ,"Ingots, in bundle/bunch/truss","Слитъци, на сноп, връзка, пачка"
XJB,"Bag, jumbo","Торба, джъмбо"
XJC,"Jerrican, rectangular","Канистра, правоъгълна"
XJG,Jug,Стомна/кана
XJR,Jar,Буркан
XJT,Jutebag,Торба от юта
XJY,"Jerrican, cylindrical","Канистра/туба, цилиндрична"
XKG,Keg,Кег
XKI,Kit,Комплект
XLE,Luggage,багаж
XLG,Log,Трупа дървесина
XLT,Lot,Лот
XLU,Lug,"щайга, тип ""Луг"""
XLV,Liftvan,Товарен фургон
XLZ,"Logs, in bundle/bunch/truss","трупи, на връзки/вързопи"
XMA,"Crate, metal","Щайга, метална"
XMB,"Bag, multiply","Торба, многопластова"
XMC,"Crate, milk","Щайга, мляко"
XME,"Container, metal","Контейнер, метален"
XMR,"Receptacle, metal ","Съд, метален "
XMS,"Sack, multi-wall ","Чувал, многослоен "
XMW,"Receptacle, plastic wrapped ",Съд с пластмасова обвивка 
XMX,Matchbox ,Кибритена кутия 
XNA,Not available,Не е налично/липсва
XNE,Unpacked or unpackaged ,Неопакован или непакетиран 
